Osoba1_1: 123-619-816
Osoba2_1: 501-272-913
Osoba3_1: 823-699-518
Osoba4_1: 517-871-138
Osoba5_1: 505-592-752
Osoba1_2: 869-939-662
Osoba2_2: 219-176-614
Osoba3_2: 414-915-150
Osoba4_2: 266-171-757
Osoba5_2: 989-887-211
Osoba1_3: 719-124-242
Osoba2_3: 354-527-543
Osoba3_3: 545-639-881
Osoba4_3: 361-347-569
Osoba5_3: 598-948-535
Osoba1_4: 587-489-282
Osoba2_4: 435-767-451
Osoba3_4: 517-392-570
Osoba4_4: 581-183-769
Osoba5_4: 691-523-397
Osoba1_5: 654-461-444
Osoba2_5: 450-937-802
Osoba3_5: 221-513-627
Osoba4_5: 323-483-521
Osoba5_5: 571-347-512
Osoba1_6: 976-859-699
Osoba2_6: 489-991-786
Osoba3_6: 106-117-509
Osoba4_6: 289-725-272
Osoba5_6: 958-821-651
Osoba1_7: 951-675-887
Osoba2_7: 857-571-256
Osoba3_7: 135-909-183
Osoba4_7: 335-637-873
Osoba5_7: 909-573-672
Osoba1_8: 426-965-312
Osoba2_8: 585-132-600
Osoba3_8: 689-792-636
Osoba4_8: 223-588-304
Osoba5_8: 756-734-337
Osoba1_9: 529-937-677
Osoba2_9: 436-755-399
Osoba3_9: 309-654-517
Osoba4_9: 511-398-624
Osoba5_9: 838-954-173
Osoba1_10: 308-282-920
Osoba2_10: 412-900-491
Osoba3_10: 626-553-507
Osoba4_10: 240-317-891
Osoba5_10: 547-624-620
Osoba1_11: 580-493-429
Osoba2_11: 259-290-153
Osoba3_11: 917-214-341
Osoba4_11: 385-917-576
Osoba5_11: 470-928-784
Osoba1_12: 944-677-112
Osoba2_12: 203-906-167
Osoba3_12: 540-531-294
Osoba4_12: 755-858-748
Osoba5_12: 677-775-915
